Wed Jan 21 14:14:26 2015    profile.data

         63902342 function calls (63900290 primitive calls) in 391.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    102/2    0.000    0.000    0.001    0.001 pyparsing.py:957(_parseNoCache)
      128    0.000    0.000    0.001    0.000 numeric.py:141(ones)
     2132    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x93b580}
     10/2    0.000    0.000    0.001    0.001 pyparsing.py:2358(parseImpl)
        1    0.001    0.001    0.001    0.001 slsqp.py:14(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:591(_get_configdir)
        1    0.001    0.001    0.001    0.001 kde.py:20(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
        6    0.000    0.000    0.001    0.000 patches.py:1610(_pprint_styles)
        4    0.000    0.000    0.001    0.000 warnings.py:46(filterwarnings)
       65    0.000    0.000    0.001    0.000 copy.py:66(copy)
        1    0.001    0.001    0.001    0.001 tnc.py:33(<module>)
        1    0.001    0.001    0.001    0.001 minpack.py:1(<module>)
        8    0.000    0.000    0.001    0.000 decorator.py:138(make)
     5602    0.001    0.000    0.001    0.000 {numpy.core.umath.geterrobj}
       71    0.000    0.000    0.001    0.000 cm.py:48(_reverse_cmap_spec)
        1    0.001    0.001    0.001    0.001 triangulate.py:1(<module>)
        1    0.001    0.001    0.001    0.001 arpack.py:7(<module>)
     1016    0.001    0.000    0.001    0.000 function_base.py:47(iterable)
     2162    0.001    0.000    0.001    0.000 sre_parse.py:204(match)
        1    0.001    0.001    0.001    0.001 linsolve.py:1(<module>)
       75    0.000    0.000    0.001    0.000 docstring.py:117(<lambda>)
       66    0.001    0.000    0.001    0.000 cm.py:31(revcmap)
        1    0.001    0.001    0.001    0.001 fftpack.py:32(<module>)
        1    0.001    0.001    0.001    0.001 _trustregion_dogleg.py:1(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:886(rc_params_from_file)
       60    0.001    0.000    0.001    0.000 _iotools.py:589(__init__)
        1    0.001    0.001    0.001    0.001 lapack.py:201(<module>)
        1    0.001    0.001    0.001    0.001 lbfgsb.py:9(<module>)
        1    0.001    0.001    0.001    0.001 fromnumeric.py:3(<module>)
       79    0.000    0.000    0.001    0.000 fromnumeric.py:2050(amax)
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
        1    0.001    0.001    0.001    0.001 cobyla.py:11(<module>)
        1    0.001    0.001    0.001    0.001 morestats.py:5(<module>)
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
        1    0.001    0.001    0.001    0.001 FileDialog.py:9(<module>)
     11/7    0.000    0.000    0.001    0.000 __init__.py:311(wrapper)
        3    0.000    0.000    0.001    0.000 tempfile.py:476(TemporaryFile)
     1453    0.001    0.000    0.001    0.000 artist.py:973(is_alias)
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
      129    0.000    0.000    0.001    0.000 re.py:134(match)
        1    0.000    0.000    0.001    0.001 texmanager.py:35(<module>)
     16/2    0.000    0.000    0.001    0.001 pyparsing.py:2622(parseImpl)
        1    0.001    0.001    0.001    0.001 tkagg.py:1(<module>)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        2    0.000    0.000    0.001    0.001 pyparsing.py:2764(parseImpl)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
      635    0.001    0.000    0.001    0.000 arrayprint.py:457(_extendLine)
        1    0.000    0.000    0.001    0.001 table.py:21(<module>)
        3    0.000    0.000    0.001    0.000 tempfile.py:230(_mkstemp_inner)
        4    0.000    0.000    0.001    0.000 pyparsing.py:3002(__init__)
        1    0.000    0.000    0.001    0.001 texmanager.py:86(TexManager)
     3048    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:2478(parseImpl)
        1    0.001    0.001    0.001    0.001 _validation.py:1(<module>)
        2    0.001    0.000    0.001    0.000 {function seed at 0x7f5da994b7d0}
        2    0.000    0.000    0.001    0.000 __init__.py:616(_get_cachedir)
      8/4    0.000    0.000    0.001    0.000 pyparsing.py:2628(leaveWhitespace)
        1    0.001    0.001    0.001    0.001 csv.py:4(<module>)
       10    0.000    0.000    0.001    0.000 colors.py:742(from_list)
